album,artist,lyric,song,year
Infinite (1996),Eminem,Thoughts of nothing but freaking that I'm struggling to keep in,Searchin',1996
Infinite (1996),Eminem,If you care to be down cause ain't nobody Like you no where to be found,Searchin',1996
Infinite (1996),Eminem,"Uh, it's ok, yeah it's all right, even though I can't sleep",It's OK,1996
Infinite (1996),Eminem,"I see you grasping to trust, but my intentions are good",Searchin',1996
Infinite (1996),Eminem,"Yeah, we gonna have enough time to go to the store?",Never 2 Far,1996
Infinite (1996),Eminem,"This is easily said, so you can lead or be led",Searchin',1996
Infinite (1996),Eminem,"And then when it's a fact we are warm, carry on",Searchin',1996
Infinite (1996),Eminem,"Chillen, cold as hell",Never 2 Far,1996
Infinite (1996),Eminem,It seems that there is not an end to things that we can do so,Searchin',1996
Infinite (1996),Eminem,Smoke a little bit and follow one of you,Tonite,1996
Infinite (1996),Eminem,Denaun: Huh?,Maxine,1996
Infinite (1996),Eminem,"But I can handle this, I'm the rhyme biter crime fighter",Tonite,1996
Infinite (1996),Eminem,"I dream of freaking you, the women that will speak it too so",Searchin',1996
Infinite (1996),Eminem,And dream of having a turn to earn money to burn,Never 2 Far,1996
Infinite (1996),Eminem,Women Singing:,Tonite,1996
Infinite (1996),Eminem,"To find babbling Max, gaffling tracks",Tonite,1996
Infinite (1996),Eminem,Baby all I wanna do is swallow one and two,Tonite,1996
Infinite (1996),Eminem,Unconditionally my aspects to cash checks,Never 2 Far,1996
Infinite (1996),Eminem,With the agility to escape a killer bee colony,Tonite,1996
Infinite (1996),Eminem,Women Singing:,Tonite,1996
Infinite (1996),Eminem,'Cause we came here to do this tonight,Tonite,1996
Infinite (1996),Eminem,My rhyming skills got you climbing hills,Infinite,1996
Infinite (1996),Eminem,"It's on you baby, cause you can be a star",Never 2 Far,1996
Infinite (1996),Eminem,Living as scandalous as a television evangelist,Tonite,1996
Infinite (1996),Eminem,Cause that's it,Never 2 Far,1996
Infinite (1996),Eminem,I armed like an octopus,Tonite,1996
Infinite (1996),Eminem,"Yeah, what's up with Lexus' and Land cruisers'?",Never 2 Far,1996
Infinite (1996),Eminem,Denaun: Denaun,Maxine,1996
Infinite (1996),Eminem,You got the point when I cleverly said it,Tonite,1996
Infinite (1996),Eminem,"We don't wanna fight, we don't want no one feeling uptight",Tonite,1996
Infinite (1996),Eminem,I've got miracle lyrical capability all in me,Tonite,1996
Infinite (1996),Eminem,"From revenue huh, cause you can be king",Never 2 Far,1996
Infinite (1996),Eminem,"Who fails to recognize my reign of hell, rule to the sire",Tonite,1996
Infinite (1996),Eminem,"No matter wherever you are, you're never too far",Never 2 Far,1996
Infinite (1996),Eminem,"And let them know the only party that was phat was here, just be like",Tonite,1996
Infinite (1996),Eminem,"Oh yeah, this is Eminem baby, back up in that motherfucking ass",Infinite,1996
Infinite (1996),Eminem,I went to it serving a sentence for murdering instruments,Infinite,1996
Infinite (1996),Eminem,"Yeah, I'm trying to be a millionare man, hahaha, but don't all you know",Never 2 Far,1996
Infinite (1996),Eminem,Fuck around and catch all of the venereal diseases,Infinite,1996
Infinite (1996),Eminem,You looking zany whack with just a fraction of my tracks spun,Infinite,1996
Infinite (1996),Eminem,"He's armed with a knife, I repeat, he's armed with a knife",Backstabber,1996
Infinite (1996),Eminem,Examination of more cartoons than animation,Infinite,1996
Infinite (1996),Eminem,You heard of hell well I was sent from it,Infinite,1996
Infinite (1996),Eminem,He's has a mean stare but usually crack's jokes,Backstabber,1996
Infinite (1996),Eminem,"I greet the gents and ladies, I spoil all your fans",Infinite,1996
Infinite (1996),Eminem,We got the walkie-talkies to keep us all informed,Backstabber,1996
Infinite (1996),Eminem,There's never been a greater since the burial of Jesus,Infinite,1996
Infinite (1996),Eminem,Now I'm trying to repent from it,Infinite,1996
Infinite (1996),Eminem,"Hit a bitch snake from the back, I make you think you're a best friend then",Backstabber,1996
Infinite (1996),Eminem,"Mic messaler, slamming like a wrestler",Infinite,1996
Infinite (1996),Eminem,To settle the score and beat then him mercifully,Backstabber,1996
Infinite (1996),Eminem,Plus the man who never had a plan B,Infinite,1996
Infinite (1996),Eminem,Here to make a mess of a lyric smuggling embezzler,Infinite,1996
Infinite (1996),Eminem,But when I hear the beat I'm tempted to make another attempt at it...,Infinite,1996
Infinite (1996),Eminem,Inside the depths of his basement,Backstabber,1996
Infinite (1996),Eminem,Men singing:,Jealousy Woes II,1996
Infinite (1996),Eminem,Why I oughtta,Backstabber,1996
Infinite (1996),Eminem,I come inside and you pretend you miss me when you kiss me,Jealousy Woes II,1996
Infinite (1996),Eminem,I'm Infinite,Infinite,1996
Infinite (1996),Eminem,Beating him over the head with the telephone,Backstabber,1996
Infinite (1996),Eminem,So what's a man to do when all I hand to you is handed back to me,Jealousy Woes II,1996
Infinite (1996),Eminem,Then you diss me and we strenuously fight continuously,Jealousy Woes II,1996
Infinite (1996),Eminem,"Hit a bitch snake from the back, I make you think you're a best friend then",Backstabber,1996
Infinite (1996),Eminem,"See I've never been so sure, and your just insecure",Jealousy Woes II,1996
Infinite (1996),Eminem,I used to be a puppet and a sucker for your silent treatments,Jealousy Woes II,1996
Infinite (1996),Eminem,I make you think you're a best friend then,Backstabber,1996
Infinite (1996),Eminem,Someone rich that I could follow,Jealousy Woes II,1996
Infinite (1996),Eminem,Verse 1: Eye-Kyu,313,1996
Infinite (1996),Eminem,You know what I'm sayin'?,W.E.G.O. (Interlude),1996
Infinite (1996),Eminem,"""",W.E.G.O. (Interlude),1996
Infinite (1996),Eminem,I got more Different Strokes than Philip Drummound,313,1996
Infinite (1996),Eminem,Life is stressful inside this cesspool,It's OK,1996
Infinite (1996),Eminem,If rap was a dick all you so called hard MC's would not be impitant,313,1996
Infinite (1996),Eminem,I won't become as dumb as some and succumb to scum,It's OK,1996
Infinite (1996),Eminem,"It's a rough week, and I don't get enough sleep (I can't sleep)",It's OK,1996
Infinite (1996),Eminem,That you couldn't hold your own with the strength of Lou Forigno,313,1996
Infinite (1996),Eminem,"No, hey look, you got fifteen cent?",Never 2 Far,1996
Infinite (1996),Eminem,"So you wanna be a sweet MC, you better become me",313,1996
Infinite (1996),Eminem,Ayo let me get that mic man',Open Mic,1996
Infinite (1996),Eminem,Asking every hooker that he takes in to crook her badly,Maxine,1996
Infinite (1996),Eminem,"You can be Run-D, you'll never beat the MC",313,1996
Infinite (1996),Eminem,Just throw it in there they ain't gonna know,Never 2 Far,1996
Infinite (1996),Eminem,You will and be sealed your casket closed you still gonna be billed,313,1996
Infinite (1996),Eminem,Denaun: Why?,Maxine,1996
Infinite (1996),Eminem,"I still stay with my mom, 21 and still with my mom",Never 2 Far,1996
Infinite (1996),Eminem,"So facts are known, writers get treated with shocks",313,1996
Infinite (1996),Eminem,"I'll be the prisoner to flee, all of this misery",Never 2 Far,1996
Infinite (1996),Eminem,"And fuck Jill on a hill, but you still ain't Jack",313,1996
Infinite (1996),Eminem,Verse 1: Eminem,Maxine,1996
Infinite (1996),Eminem,You know what I'm saying? 'Cause I'm tired of being broke,Never 2 Far,1996
Infinite (1996),Eminem,"So you wanna be a sweet MC, you'll never become me",313,1996
Infinite (1996),Eminem,"Yeah I hear what your saying,",Never 2 Far,1996
Infinite (1996),Eminem,"Y'all been here every weekend man,",Open Mic,1996
Infinite (1996),Eminem,"Making dead presidents, you know what I'm saying?",Never 2 Far,1996
Infinite (1996),Eminem,Protectors and be sure that you stand close,Backstabber,1996
Infinite (1996),Eminem,"(Scratched in) I wanna know, I wanna know",Open Mic,1996
Infinite (1996),Eminem,Why I oughtta,Backstabber,1996
Infinite (1996),Eminem,"Jacking lives of MC's, now I'm set to launch a plan",Open Mic,1996
Infinite (1996),Eminem,Stay away from him he ain't no good!,Backstabber,1996
Infinite (1996),Eminem,Well I'ma stuff some dynamite in your ass crack,313,1996
Infinite (1996),Eminem,It's an amazing task to battle with success,Open Mic,1996
Infinite (1996),Eminem,You flowers got no clout with a thing,313,1996
Infinite (1996),Eminem,You couldn't flip shit playing in toilets with a spatula,Open Mic,1996
Infinite (1996),Eminem,"No no man, I'm going first,",Open Mic,1996
Infinite (1996),Eminem,Denaun: What up?,Maxine,1996
Infinite (1996),Eminem,"(Scratched in) I wanna know, I wanna know",Open Mic,1996
Infinite (1996),Eminem,"Inferior, deteriorate, like bacteria",Open Mic,1996
Infinite (1996),Eminem,"Bite a rhyme and feel your jaw get stiffer and ache, wither and break",Open Mic,1996
Infinite (1996),Eminem,"Take a towel, wipe your brow, quit trying to hunt me down",Jealousy Woes II,1996
Infinite (1996),Eminem,"Here is Soul Intent checkin' in at number 1 baby this week,",W.E.G.O. (Interlude),1996
Infinite (1996),Eminem,I've never been less than clever and fresh,Open Mic,1996
Infinite (1996),Eminem,"Jealous, Jealousy, Jealousy (8X)",Jealousy Woes II,1996
Infinite (1996),Eminem,Who the fuck passed you the mic and said that you can flow?,Open Mic,1996
Infinite (1996),Eminem,"He goes, ""You didn't want me to see you then, I don't want you now""",Jealousy Woes II,1996
Infinite (1996),Eminem,Slicing up an enemy's appendages till he hemorrhages,Open Mic,1996
