album,artist,lyric,song,year
2Pacalypse Now (1991),tupac,And my uncle Tommy's balls,I Don't Give a Fuck,1991
2Pacalypse Now (1991),tupac,"A damn shame, the girl can hardly spell her name",Brenda's Got a Baby,1991
2Pacalypse Now (1991),tupac,Brenda's (Brenda),Brenda's Got a Baby,1991
2Pacalypse Now (1991),tupac,I shine of a reminder of what you have done to my people,Words of Wisdom,1991
2Pacalypse Now (1991),tupac,"But oh, that's a thought-my own revelation",Brenda's Got a Baby,1991
2Pacalypse Now (1991),tupac,"Who didn't really care to see, or give a damn if she",Brenda's Got a Baby,1991
2Pacalypse Now (1991),tupac,"She's twelve years old, guess she's havin' a baby",Brenda's Got a Baby,1991
2Pacalypse Now (1991),tupac,So wit the little bass and treble ain't missed a,Rebel of the Underground,1991
2Pacalypse Now (1991),tupac,Homie is done away I should of put my gun away,Trapped,1991
2Pacalypse Now (1991),tupac,In love with a molester who's sexin' her crazy,Brenda's Got a Baby,1991
2Pacalypse Now (1991),tupac,"I guess she thought she'd get away, wouldn't hear the cries",Brenda's Got a Baby,1991
2Pacalypse Now (1991),tupac,Don't you know she's got a,Brenda's Got a Baby,1991
2Pacalypse Now (1991),tupac,"Brenda wants to run away, Mama say",Brenda's Got a Baby,1991
2Pacalypse Now (1991),tupac,So she sees sex as her way of leavin' hell,Brenda's Got a Baby,1991
2Pacalypse Now (1991),tupac,"Niggas don't wanna try me, brotha you'll get shot down",Soulja's Story,1991
2Pacalypse Now (1991),tupac,"She tried to sell crack, but ended up gettin' robbed",Brenda's Got a Baby,1991
2Pacalypse Now (1991),tupac,Don't you know she's got a babe,Brenda's Got a Baby,1991
2Pacalypse Now (1991),tupac,Don't you know she's got a (don't you know),Brenda's Got a Baby,1991
2Pacalypse Now (1991),tupac,"Don't you know she's got a (yes, she is)",Brenda's Got a Baby,1991
2Pacalypse Now (1991),tupac,Don't you know she's got a babe (I know),Brenda's Got a Baby,1991
2Pacalypse Now (1991),tupac,Don't you know she's got a (I know I know),Brenda's Got a Baby,1991
